"reg","Data_type","Key","value"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\Search","REG_DWORD","HistoryViewEnabled","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\Search","REG_DWORD","SearchboxTaskbarMode","0"
"$reglocation\SOFTWARE\Microsoft\Windows\CurrentVersion\SettingSync\Groups\Language","REG_DWORD","Enabled","0"
"$reglocation\System\GameConfigStore","REG_DWORD","GameDVR_Enabled","0"
"HKCR\CLSID\{018D5C66-4533-4307-9B53-224DE2ED1FE6}","REG_DWORD","System.IsPinnedToNameSpaceTree","0"
"HKCR\Wow6432Node\CLSID\{018D5C66-4533-4307-9B53-224DE2ED1FE6}","REG_DWORD","System.IsPinnedToNameSpaceTree","0"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer","REG_DWORD","EnableAutoTray","0"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced","REG_DWORD","LaunchTo","1"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Feeds","REG_DWORD","ShellFeedsTaskbarViewMode","2"
"HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","REG_DWORD","HideSCAMeetNow","1"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\Shell\Bags\1\Desktop","REG_DWORD","FFLAGS","1075839525"
"HKLM\SOFTWARE\Microsoft\SQMClient\Windows","REG_DWORD","CEIPEnable","0"
"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","REG_DWORD","ARSOUserConsent","0"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AdvertisingInfo","REG_DWORD","Enabled","0"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\CapabilityAccessManager\ConsentStore\location","REG_SZ","Value","Deny"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\ContentDeliveryManager","REG_DWORD","SystemPaneSuggestionsEnabled","0"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Config","REG_DWORD","DODownloadMode","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Config","REG_DWORD","DownloadMode","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Settings","REG_DWORD","DownloadMode","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Device Metadata","REG_DWORD","PreventDeviceMetadataFromNetwork","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Diagnostics\DiagTrack\EventTranscriptKey","REG_DWORD","EnableEventTranscript","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer","REG_DWORD","DisableEdgeDesktopShortcutCreation","1"
"HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","REG_DWORD","HideSCAMeetNow","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","REG_DWORD","AITEnable","0"		
"HKLM\SOFTWARE\Policies\Microsoft\Windows\AppCompat","REG_DWORD","DisableInventory","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\CloudContent","REG_DWORD","DisableWindowsConsumerFeatures","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\DataCollection","REG_DWORD","AllowTelemetry","0"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\DataCollection","REG_DWORD","DoNotShowFeedbackNotifications","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\Explorer","REG_DWORD","ShowRunasDifferentuserinStart","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\GameDVR","REG_DWORD","AllowGameDVR","0"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\OneDrive","REG_DWORD","DisableFileSync","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\OneDrive","REG_DWORD","DisableFileSyncNGSC","1"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\Windows Search","REG_DWORD","AllowCortana","0"
"HKLM\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","REG_DWORD","EnableFeaturedSoftware","0"
"HKLM\SOFTWARE\Software\Policies\Microsoft\MicrosoftEdge\Main","REG_DWORD","PreventFirstRunPage","1"
"HKLM\SYSTEM\CurrentControlSet\Services\xbgm","REG_DWORD","Start","4"
